month,day,hour,total power usage (kW)
1,1,0,0.8695
1,1,1,0.8055000000000001
1,1,2,0.7575000000000001
1,1,3,0.6937500000000001
1,1,4,0.7282500000000001
1,1,5,0.7135
1,1,6,0.76625
1,1,7,0.7545000000000002
1,1,8,0.89525
1,1,9,1.44775
1,1,10,1.45475
1,1,11,0.77725
1,1,12,0.684
1,1,13,0.622
1,1,14,0.6725
1,1,15,0.8367500000000001
1,1,16,0.78725
1,1,17,0.9615
1,1,18,2.26975
1,1,19,1.27075
1,1,20,1.11125
1,1,21,1.10325
1,1,22,0.7587499999999999
1,1,23,0.69925
1,2,0,0.7075
1,2,1,0.6184999999999999
1,2,2,0.641
1,2,3,0.6697500000000001
1,2,4,0.6367499999999999
1,2,5,0.6927500000000001
1,2,6,0.7745
1,2,7,0.8422499999999999
1,2,8,0.59275
1,2,9,0.70675
1,2,10,0.7959999999999999
1,2,11,0.581
1,2,12,0.59275
1,2,13,0.5922499999999999
1,2,14,0.5657500000000001
1,2,15,0.72625
1,2,16,0.6845
1,2,17,1.027
1,2,18,1.0119999999999998
1,2,19,0.62025
1,2,20,0.8104999999999999
1,2,21,0.8277500000000001
1,2,22,0.3865
1,2,23,0.31849999999999995
1,3,0,0.402
1,3,1,0.46625
1,3,2,0.504
1,3,3,0.5057499999999999
1,3,4,0.8085000000000001
1,3,5,0.7707499999999999
1,3,6,1.2477500000000001
1,3,7,0.9205000000000001
1,3,8,0.33975000000000005
1,3,9,0.27749999999999997
1,3,10,0.29574999999999996
1,3,11,0.28674999999999995
1,3,12,0.9344999999999999
1,3,13,1.71
1,3,14,1.50425
1,3,15,0.8467500000000001
1,3,16,1.0370000000000001
1,3,17,0.8340000000000001
1,3,18,1.476
1,3,19,1.0037500000000001
1,3,20,0.745
1,3,21,0.6675
1,3,22,0.43574999999999997
1,3,23,0.45275
1,4,0,0.45699999999999996
1,4,1,0.41050000000000003
1,4,2,0.4405
1,4,3,0.475
1,4,4,0.5065
1,4,5,0.58575
1,4,6,1.047
1,4,7,0.778
1,4,8,0.6882499999999999
1,4,9,0.83325
1,4,10,0.83325
1,4,11,0.9100000000000001
1,4,12,0.4375
1,4,13,0.36149999999999993
1,4,14,0.36149999999999993
1,4,15,0.30150000000000005
1,4,16,0.39000000000000007
1,4,17,0.554
1,4,18,0.7874999999999999
1,4,19,0.833
1,4,20,0.734
1,4,21,0.37949999999999995
1,4,22,0.33925
1,4,23,0.2995
1,5,0,0.28225
1,5,1,0.32499999999999996
1,5,2,0.37424999999999997
1,5,3,0.35450000000000004
1,5,4,0.652
1,5,5,0.6782499999999999
1,5,6,0.9850000000000001
1,5,7,0.6805
1,5,8,0.35
1,5,9,0.29050000000000004
1,5,10,0.19699999999999993
1,5,11,0.24449999999999983
1,5,12,0.5245
1,5,13,0.48725000000000007
1,5,14,0.2067500000000001
1,5,15,0.24300000000000022
1,5,16,0.41125000000000006
1,5,17,0.5619999999999999
1,5,18,0.5505
1,5,19,0.57875
1,5,20,0.67625
1,5,21,0.7342500000000001
1,5,22,0.3735
1,5,23,0.3285
1,6,0,0.38975000000000004
1,6,1,0.37675
1,6,2,0.34575
1,6,3,0.29675
1,6,4,0.683
1,6,5,0.62675
1,6,6,0.541
1,6,7,0.51925
1,6,8,0.6114999999999999
1,6,9,0.8735
1,6,10,0.41175
1,6,11,1.14925
1,6,12,0.77725
1,6,13,0.3692500000000001
1,6,14,0.9934999999999998
1,6,15,0.8180000000000001
1,6,16,0.41875
1,6,17,0.54625
1,6,18,0.44000000000000006
1,6,19,0.708
1,6,20,0.5567500000000001
1,6,21,0.5974999999999999
1,6,22,0.34625
1,6,23,0.2575
1,7,0,0.29725
1,7,1,0.24975
1,7,2,0.29374999999999996
1,7,3,0.24275
1,7,4,0.31600000000000006
1,7,5,0.34725
1,7,6,0.325
1,7,7,0.30100000000000005
1,7,8,0.57325
1,7,9,0.6905
1,7,10,0.9232499999999999
1,7,11,0.9835
1,7,12,0.312
1,7,13,0.4415
1,7,14,0.36475
1,7,15,0.9095
1,7,16,1.068
1,7,17,1.266
1,7,18,0.685
1,7,19,0.55725
1,7,20,0.56275
1,7,21,0.47375
1,7,22,0.22775
1,7,23,0.22975
1,8,0,0.24
1,8,1,0.218
1,8,2,0.22225
1,8,3,0.21375
1,8,4,0.41374999999999995
1,8,5,0.5295
1,8,6,1.075
1,8,7,0.97175
1,8,8,0.27399999999999997
1,8,9,0.27099999999999996
1,8,10,0.25725000000000015
1,8,11,0.2587499999999999
1,8,12,0.28425
1,8,13,0.5924999999999999
1,8,14,1.03325
1,8,15,0.5587500000000002
1,8,16,0.5119999999999999
1,8,17,0.5275
1,8,18,0.64375
1,8,19,0.7657499999999999
1,8,20,0.5205
1,8,21,0.34400000000000003
1,8,22,0.35925
1,8,23,0.39649999999999996
1,9,0,0.3555
1,9,1,0.36875
1,9,2,0.418
1,9,3,0.4465
1,9,4,0.41175
1,9,5,0.5277499999999999
1,9,6,1.02575
1,9,7,1.0522500000000001
1,9,8,0.53025
1,9,9,0.42125000000000007
1,9,10,0.3692499999999999
1,9,11,0.31725000000000003
1,9,12,0.5557499999999997
1,9,13,0.5605000000000001
1,9,14,0.32074999999999987
1,9,15,0.24824999999999986
1,9,16,0.22375000000000006
1,9,17,0.257
1,9,18,0.53575
1,9,19,0.62
1,9,20,0.44500000000000006
1,9,21,0.26299999999999996
1,9,22,0.246
1,9,23,0.24049999999999996
1,10,0,0.259
1,10,1,0.2425
1,10,2,0.2435
1,10,3,0.25825
1,10,4,0.4345
1,10,5,0.57
1,10,6,0.996
1,10,7,0.71425
1,10,8,0.387
1,10,9,0.21474999999999994
1,10,10,0.21249999999999997
1,10,11,0.6655
1,10,12,1.1159999999999999
1,10,13,0.43375
1,10,14,0.21999999999999986
1,10,15,0.21824999999999994
1,10,16,0.23774999999999996
1,10,17,0.3715
1,10,18,0.6855
1,10,19,0.6809999999999999
1,10,20,0.52875
1,10,21,0.33474999999999994
1,10,22,0.23900000000000002
1,10,23,0.2385
1,11,0,0.241
1,11,1,0.23199999999999998
1,11,2,0.41650000000000004
1,11,3,0.275
1,11,4,0.388
1,11,5,0.44975
1,11,6,0.8187499999999999
1,11,7,0.81375
1,11,8,0.34475000000000006
1,11,9,0.51425
1,11,10,0.8039999999999999
1,11,11,0.3104999999999999
1,11,12,0.23325000000000012
1,11,13,0.37750000000000006
1,11,14,0.5777499999999998
1,11,15,0.2745000000000001
1,11,16,0.25825000000000004
1,11,17,0.23625000000000002
1,11,18,0.8187500000000001
1,11,19,0.56775
1,11,20,0.32775
1,11,21,0.3865
1,11,22,0.256
1,11,23,0.23425
1,12,0,0.30874999999999997
1,12,1,0.34975
1,12,2,0.34625
1,12,3,0.35675
1,12,4,0.64575
1,12,5,0.66425
1,12,6,1.1695
1,12,7,1.1327500000000001
1,12,8,0.61375
1,12,9,0.3187500000000001
1,12,10,0.3637499999999999
1,12,11,0.31674999999999986
1,12,12,0.8847500000000001
1,12,13,0.3540000000000001
1,12,14,0.2652499999999999
1,12,15,0.31575
1,12,16,0.49950000000000006
1,12,17,0.5525
1,12,18,0.57975
1,12,19,0.9072500000000001
1,12,20,0.8619999999999999
1,12,21,0.6839999999999999
1,12,22,0.45575
1,12,23,0.4595
1,13,0,0.48124999999999996
1,13,1,0.496
1,13,2,0.51075
1,13,3,0.5035
1,13,4,0.5505
1,13,5,0.62775
1,13,6,0.685
1,13,7,0.7
1,13,8,0.8422499999999999
1,13,9,0.49125000000000013
1,13,10,0.5945
1,13,11,0.5110000000000001
1,13,12,0.5069999999999999
1,13,13,0.4627500000000002
1,13,14,0.5119999999999998
1,13,15,0.7272500000000001
1,13,16,0.3945
1,13,17,0.51125
1,13,18,0.52825
1,13,19,0.60625
1,13,20,0.66025
1,13,21,0.8327499999999999
1,13,22,0.8027500000000001
1,13,23,0.25775
1,14,0,0.259
1,14,1,0.36
1,14,2,0.39549999999999996
1,14,3,0.38425
1,14,4,0.6745
1,14,5,0.6885
1,14,6,0.63725
1,14,7,0.7315
1,14,8,0.51
1,14,9,0.4050000000000001
1,14,10,0.45825
1,14,11,0.5065000000000002
1,14,12,0.6429999999999999
1,14,13,1.1672500000000001
1,14,14,1.1595
1,14,15,0.4914999999999997
1,14,16,0.54425
1,14,17,0.62025
1,14,18,0.5675
1,14,19,0.515
1,14,20,0.5787500000000001
1,14,21,0.548
1,14,22,0.27125
1,14,23,0.24300000000000002
1,15,0,0.25275000000000003
1,15,1,0.266
1,15,2,0.42000000000000004
1,15,3,0.371
1,15,4,0.66525
1,15,5,0.6679999999999999
1,15,6,0.55525
1,15,7,0.4855000000000001
1,15,8,0.41225
1,15,9,0.65275
1,15,10,0.393
1,15,11,0.4345
1,15,12,0.4672499999999999
1,15,13,0.4225000000000001
1,15,14,0.35524999999999995
1,15,15,0.32875000000000004
1,15,16,0.5202500000000001
1,15,17,0.41225
1,15,18,1.1625
1,15,19,0.74525
1,15,20,0.5005
1,15,21,0.4785
1,15,22,0.6930000000000001
1,15,23,0.3695
1,16,0,0.26525
1,16,1,0.308
1,16,2,0.36875
1,16,3,0.38425
1,16,4,0.64075
1,16,5,0.6719999999999999
1,16,6,0.6152500000000001
1,16,7,0.615
1,16,8,0.4392499999999999
1,16,9,0.405
1,16,10,0.9292499999999999
1,16,11,0.8150000000000001
1,16,12,0.88575
1,16,13,0.8055
1,16,14,0.786
1,16,15,0.7489999999999999
1,16,16,0.9640000000000001
1,16,17,0.8855000000000001
1,16,18,2.1075
1,16,19,1.45725
1,16,20,0.81775
1,16,21,0.8407500000000001
1,16,22,0.77575
1,16,23,0.64625
1,17,0,0.636
1,17,1,0.61725
1,17,2,0.6154999999999999
1,17,3,0.6527499999999999
1,17,4,0.5825
1,17,5,0.6385
1,17,6,0.65725
1,17,7,0.738
1,17,8,1.22175
1,17,9,0.5469999999999999
1,17,10,0.3639999999999999
1,17,11,0.4414999999999999
1,17,12,0.9889999999999998
1,17,13,1.2229999999999999
1,17,14,0.76725
1,17,15,0.5467500000000002
1,17,16,0.59275
1,17,17,0.7175
1,17,18,1.3792499999999999
1,17,19,0.9975
1,17,20,0.9275
1,17,21,0.70075
1,17,22,0.36624999999999996
1,17,23,0.38
1,18,0,0.4355
1,18,1,0.40725
1,18,2,0.41825
1,18,3,0.45975
1,18,4,0.6832499999999999
1,18,5,0.6739999999999999
1,18,6,0.9485
1,18,7,0.84975
1,18,8,0.44625000000000004
1,18,9,0.242
1,18,10,0.68675
1,18,11,0.6287499999999999
1,18,12,0.3912499999999999
1,18,13,0.3015
1,18,14,0.3385
1,18,15,0.6519999999999999
1,18,16,0.7224999999999999
1,18,17,0.81625
1,18,18,0.6645000000000001
1,18,19,0.69175
1,18,20,0.8815000000000001
1,18,21,0.732
1,18,22,0.46274999999999994
1,18,23,0.40325
1,19,0,0.365
1,19,1,0.41324999999999995
1,19,2,0.44125000000000003
1,19,3,0.39599999999999996
1,19,4,0.7280000000000001
1,19,5,0.58225
1,19,6,0.93575
1,19,7,0.9435
1,19,8,0.33775
1,19,9,0.29275
1,19,10,0.26175000000000004
1,19,11,0.28900000000000003
1,19,12,1.0110000000000001
1,19,13,1.5255
1,19,14,0.59775
1,19,15,0.63275
1,19,16,0.5549999999999999
1,19,17,0.39975000000000005
1,19,18,0.6357499999999999
1,19,19,1.14175
1,19,20,0.994
1,19,21,0.87325
1,19,22,0.4922500000000001
1,19,23,0.38175
1,20,0,0.48275
1,20,1,0.41600000000000004
1,20,2,0.4505
1,20,3,0.38575000000000004
1,20,4,0.44099999999999995
1,20,5,0.4155
1,20,6,0.4555
1,20,7,0.4225
1,20,8,0.806
1,20,9,0.64675
1,20,10,0.44425000000000003
1,20,11,0.4342499999999999
1,20,12,0.5017499999999999
1,20,13,0.4730000000000001
1,20,14,0.35900000000000004
1,20,15,0.23575000000000007
1,20,16,0.273
1,20,17,1.85125
1,20,18,1.03075
1,20,19,1.114
