month,day,hour,total power usage (kW)
1,1,0,1.7845000000000002
1,1,1,1.2750000000000001
1,1,2,0.8069999999999999
1,1,3,0.8270000000000001
1,1,4,0.9015
1,1,5,0.77675
1,1,6,0.76825
1,1,7,0.8130000000000001
1,1,8,0.65075
1,1,9,0.8405
1,1,10,0.8280000000000001
1,1,11,1.4080000000000001
1,1,12,0.8047500000000001
1,1,13,0.7495
1,1,14,0.8332499999999998
1,1,15,1.36275
1,1,16,1.1715
1,1,17,3.4022500000000004
1,1,18,1.91575
1,1,19,1.9385
1,1,20,1.62075
1,1,21,1.463
1,1,22,1.68925
1,1,23,1.276
1,2,0,0.763
1,2,1,0.78025
1,2,2,0.6819999999999999
1,2,3,0.7617500000000001
1,2,4,0.7355
1,2,5,0.7715
1,2,6,0.7462500000000001
1,2,7,0.7705
1,2,8,0.69475
1,2,9,1.21425
1,2,10,1.29875
1,2,11,2.081
1,2,12,2.5515
1,2,13,1.4144999999999999
1,2,14,1.2447499999999998
1,2,15,1.508
1,2,16,1.20625
1,2,17,1.5590000000000002
1,2,18,1.3820000000000001
1,2,19,1.39575
1,2,20,1.3390000000000004
1,2,21,1.2895
1,2,22,4.898499999999999
1,2,23,4.78225
1,3,0,4.1625
1,3,1,1.6965000000000001
1,3,2,0.7585000000000001
1,3,3,0.7275
1,3,4,0.73275
1,3,5,0.7402500000000001
1,3,6,0.74675
1,3,7,0.75225
1,3,8,0.8332499999999999
1,3,9,0.98525
1,3,10,1.3025000000000002
1,3,11,1.4900000000000002
1,3,12,1.38775
1,3,13,1.416
1,3,14,1.351
1,3,15,1.415
1,3,16,1.43
1,3,17,1.531
1,3,18,1.4002500000000002
1,3,19,1.351
1,3,20,1.47325
1,3,21,1.8150000000000002
1,3,22,4.583
1,3,23,3.02775
1,4,0,0.9502499999999998
1,4,1,0.87175
1,4,2,0.723
1,4,3,0.673
1,4,4,0.7164999999999999
1,4,5,0.69575
1,4,6,0.7775000000000001
1,4,7,1.26575
1,4,8,1.769
1,4,9,1.8032500000000002
1,4,10,1.2865000000000002
1,4,11,1.578
1,4,12,1.47375
1,4,13,1.111
1,4,14,0.895
1,4,15,0.9075
1,4,16,1.1
1,4,17,1.12075
1,4,18,1.40175
1,4,19,1.22875
1,4,20,1.1960000000000002
1,4,21,1.1802500000000002
1,4,22,4.385750000000001
1,4,23,2.2910000000000004
1,5,0,1.00325
1,5,1,0.97925
1,5,2,0.84
1,5,3,0.663
1,5,4,0.64025
1,5,5,0.8647499999999999
1,5,6,1.6920000000000002
1,5,7,1.702
1,5,8,1.2367499999999998
1,5,9,1.107
1,5,10,1.31825
1,5,11,4.54425
1,5,12,1.12725
1,5,13,3.7047499999999998
1,5,14,1.4985
1,5,15,1.1440000000000001
1,5,16,1.0505
1,5,17,1.2405
1,5,18,1.4465
1,5,19,1.7485000000000004
1,5,20,1.0075
1,5,21,1.21475
1,5,22,4.5085
1,5,23,4.49575
1,6,0,0.64025
1,6,1,0.65125
1,6,2,0.6755
1,6,3,0.65025
1,6,4,0.6345000000000001
1,6,5,0.668
1,6,6,0.65925
1,6,7,0.65225
1,6,8,0.526
1,6,9,0.7204999999999999
1,6,10,1.0715
1,6,11,1.3625
1,6,12,1.75925
1,6,13,1.27525
1,6,14,2.471
1,6,15,2.22625
1,6,16,0.7210000000000001
1,6,17,0.8795
1,6,18,1.2525
1,6,19,1.29725
1,6,20,1.6672500000000001
1,6,21,1.3752499999999999
1,6,22,0.817
1,6,23,0.6732499999999999
1,7,0,0.60925
1,7,1,0.6194999999999999
1,7,2,0.59075
1,7,3,0.57825
1,7,4,0.60375
1,7,5,0.6234999999999999
1,7,6,0.598
1,7,7,0.79825
1,7,8,0.9594999999999999
1,7,9,1.29825
1,7,10,1.11475
1,7,11,0.5335000000000001
1,7,12,0.51475
1,7,13,0.5305
1,7,14,0.9700000000000002
1,7,15,1.10175
1,7,16,2.0242500000000003
1,7,17,4.4879999999999995
1,7,18,4.42675
1,7,19,4.4515
1,7,20,2.48475
1,7,21,1.1509999999999998
1,7,22,0.7749999999999999
1,7,23,0.59675
1,8,0,0.592
1,8,1,0.5935
1,8,2,0.62525
1,8,3,0.60225
1,8,4,0.61625
1,8,5,0.6222500000000001
1,8,6,0.81925
1,8,7,0.7035
1,8,8,0.6965000000000001
1,8,9,1.038
1,8,10,1.0687499999999999
1,8,11,0.8792500000000001
1,8,12,0.5640000000000001
1,8,13,0.5535000000000001
1,8,14,0.7532499999999999
1,8,15,3.58325
1,8,16,1.1687500000000002
1,8,17,0.84375
1,8,18,1.15675
1,8,19,1.23925
1,8,20,1.4794999999999998
1,8,21,1.84875
1,8,22,4.7555000000000005
1,8,23,4.56775
1,9,0,3.9415000000000004
1,9,1,2.1745
1,9,2,0.64
1,9,3,0.70875
1,9,4,0.64575
1,9,5,0.6855000000000001
1,9,6,0.6962499999999999
1,9,7,1.0587499999999999
1,9,8,2.6515
1,9,9,2.8177499999999998
1,9,10,1.058
1,9,11,0.6540000000000001
1,9,12,0.98725
1,9,13,0.8070000000000002
1,9,14,0.7375
1,9,15,0.7237499999999999
1,9,16,3.3742500000000004
1,9,17,4.984
1,9,18,4.6775
1,9,19,4.916
1,9,20,4.5065
1,9,21,3.6475
1,9,22,3.6777500000000005
1,9,23,1.38875
1,10,0,0.7632499999999999
1,10,1,0.729
1,10,2,0.6695
1,10,3,0.6965
1,10,4,0.68675
1,10,5,0.6425
1,10,6,1.0154999999999998
1,10,7,1.2882500000000001
1,10,8,1.86225
1,10,9,1.58375
1,10,10,0.7347499999999999
1,10,11,0.6847500000000001
1,10,12,0.9645000000000001
1,10,13,0.8284999999999999
1,10,14,0.79775
1,10,15,0.6869999999999999
1,10,16,1.08
1,10,17,3.2409999999999997
1,10,18,1.5364999999999998
1,10,19,1.4217499999999998
1,10,20,1.5947500000000001
1,10,21,1.6412499999999999
1,10,22,4.38175
1,10,23,0.913
1,11,0,0.7762499999999999
1,11,1,0.9854999999999998
1,11,2,0.73325
1,11,3,0.761
1,11,4,0.7150000000000001
1,11,5,0.783
1,11,6,1.09125
1,11,7,1.4080000000000001
1,11,8,0.8222499999999999
1,11,9,1.0915
1,11,10,0.8627499999999999
1,11,11,1.32425
1,11,12,1.09525
1,11,13,0.52475
1,11,14,0.54
1,11,15,0.6247499999999999
1,11,16,1.3094999999999999
1,11,17,1.41875
1,11,18,1.443
1,11,19,1.3635000000000002
1,11,20,1.48475
1,11,21,1.58475
1,11,22,4.666500000000001
1,11,23,1.6972500000000001
1,12,0,0.73825
1,12,1,0.7415
1,12,2,0.7505000000000001
1,12,3,0.7615000000000001
1,12,4,0.72025
1,12,5,0.75875
1,12,6,1.1745
1,12,7,1.4855
1,12,8,0.5469999999999999
1,12,9,0.6095
1,12,10,0.6564999999999999
1,12,11,0.6282500000000001
1,12,12,0.8235
1,12,13,0.9742500000000001
1,12,14,0.88275
1,12,15,0.7862499999999999
1,12,16,1.18625
1,12,17,1.274
1,12,18,1.3462500000000002
1,12,19,1.31225
1,12,20,1.49675
1,12,21,1.98225
1,12,22,4.7860000000000005
1,12,23,4.0635
1,13,0,4.0337499999999995
1,13,1,2.3242499999999997
1,13,2,0.78775
1,13,3,0.651
1,13,4,0.77875
1,13,5,0.77575
1,13,6,0.681
1,13,7,0.894
1,13,8,0.7922499999999999
1,13,9,1.09575
1,13,10,1.13775
1,13,11,1.093
1,13,12,1.1215
1,13,13,1.4804999999999997
1,13,14,1.3967500000000002
1,13,15,1.4085
1,13,16,1.7265
1,13,17,1.03525
1,13,18,0.9410000000000001
1,13,19,0.7055
1,13,20,0.73725
1,13,21,1.157
1,13,22,4.36675
1,13,23,2.6094999999999997
1,14,0,0.7797499999999999
1,14,1,0.7474999999999999
1,14,2,0.7899999999999999
1,14,3,0.7474999999999999
1,14,4,0.757
1,14,5,0.7772500000000001
1,14,6,0.75575
1,14,7,0.9275000000000001
1,14,8,1.1595000000000002
1,14,9,2.0525
1,14,10,1.8632500000000005
1,14,11,3.3975
1,14,12,1.6245
1,14,13,3.1775
1,14,14,1.2174999999999998
1,14,15,1.309
1,14,16,1.1480000000000001
1,14,17,3.017
1,14,18,0.7927500000000001
1,14,19,1.51775
1,14,20,1.7875
1,14,21,1.705
1,14,22,1.2127499999999998
1,14,23,0.8835000000000001
1,15,0,0.81075
1,15,1,0.79925
1,15,2,0.7849999999999999
1,15,3,0.784
1,15,4,0.80175
1,15,5,0.7967500000000001
1,15,6,0.779
1,15,7,1.0395
1,15,8,1.10725
1,15,9,2.8872500000000003
1,15,10,1.1065
1,15,11,1.0797499999999998
1,15,12,1.4794999999999998
1,15,13,1.6255000000000002
1,15,14,1.57025
1,15,15,1.7347500000000002
1,15,16,1.2245
1,15,17,1.0305
1,15,18,1.01025
1,15,19,1.0835
1,15,20,1.4307500000000002
1,15,21,1.46975
1,15,22,4.656000000000001
1,15,23,1.06725
1,16,0,0.8234999999999999
1,16,1,0.7745
1,16,2,0.7669999999999999
1,16,3,0.7835
1,16,4,0.763
1,16,5,0.77525
1,16,6,0.7692499999999999
1,16,7,0.76625
1,16,8,0.99875
1,16,9,1.168
1,16,10,1.2242499999999998
1,16,11,1.3815
1,16,12,1.49775
1,16,13,1.49125
1,16,14,1.49525
1,16,15,1.5450000000000002
1,16,16,1.3815
1,16,17,1.79725
1,16,18,1.7637500000000002
1,16,19,1.854
1,16,20,2.61025
1,16,21,3.1582500000000002
1,16,22,2.896
1,16,23,1.8017500000000002
1,17,0,1.2175
1,17,1,0.9465
1,17,2,0.8585
1,17,3,0.829
1,17,4,0.8335
1,17,5,0.9345000000000001
1,17,6,1.2777500000000002
1,17,7,1.36825
1,17,8,1.6742499999999998
1,17,9,4.5335
1,17,10,4.205749999999999
1,17,11,4.61675
1,17,12,2.1620000000000004
1,17,13,1.22625
1,17,14,1.1995
1,17,15,1.2274999999999998
1,17,16,1.5662500000000001
1,17,17,1.1795
1,17,18,1.4285
1,17,19,1.79875
1,17,20,1.6295000000000002
1,17,21,1.75625
1,17,22,4.31825
1,17,23,4.58225
1,18,0,1.6127500000000001
1,18,1,0.83925
1,18,2,0.8677499999999999
1,18,3,0.7725
1,18,4,0.861
1,18,5,0.8510000000000001
1,18,6,0.78875
1,18,7,2.34225
1,18,8,3.98625
1,18,9,2.1510000000000002
1,18,10,1.62275
1,18,11,1.6740000000000002
1,18,12,1.5902500000000002
