month,day,hour,total power usage (kW)
1,1,0,1.198
1,1,1,1.2519999999999998
1,1,2,1.1929999999999998
1,1,3,1.208
1,1,4,1.11125
1,1,5,1.19275
1,1,6,1.1365
1,1,7,1.181
1,1,8,0.99825
1,1,9,0.7725
1,1,10,0.69
1,1,11,0.5107499999999999
1,1,12,0.7549999999999999
1,1,13,0.46625000000000005
1,1,14,0.5559999999999999
1,1,15,0.6705
1,1,16,0.489
1,1,17,0.51725
1,1,18,0.95025
1,1,19,1.053
1,1,20,1.213
1,1,21,1.4434999999999998
1,1,22,2.41175
1,1,23,1.35475
1,2,0,1.2142499999999998
1,2,1,1.17475
1,2,2,1.1532499999999999
1,2,3,0.9597499999999999
1,2,4,0.97575
1,2,5,0.9422499999999999
1,2,6,0.9397500000000001
1,2,7,1.02125
1,2,8,0.7967500000000001
1,2,9,0.4725
1,2,10,0.72525
1,2,11,0.6205
1,2,12,0.46625
1,2,13,0.5337500000000001
1,2,14,0.48024999999999995
1,2,15,0.5652499999999999
1,2,16,0.5545
1,2,17,0.56
1,2,18,0.606
1,2,19,1.3210000000000002
1,2,20,1.59625
1,2,21,1.7325000000000002
1,2,22,1.6024999999999998
1,2,23,1.2765
1,3,0,1.1957499999999999
1,3,1,1.2349999999999999
1,3,2,1.184
1,3,3,1.1375
1,3,4,1.189
1,3,5,1.1535
1,3,6,1.1119999999999999
1,3,7,1.20275
1,3,8,1.17225
1,3,9,1.80925
1,3,10,0.693
1,3,11,0.67725
1,3,12,1.0415
1,3,13,0.5722500000000001
1,3,14,0.4515000000000001
1,3,15,0.5472500000000001
1,3,16,0.5567500000000001
1,3,17,0.478
1,3,18,0.5455000000000001
1,3,19,0.56
1,3,20,0.623
1,3,21,1.4389999999999998
1,3,22,2.46375
1,3,23,1.4144999999999999
1,4,0,0.911
1,4,1,0.8757499999999999
1,4,2,0.886
1,4,3,0.89225
1,4,4,0.872
1,4,5,0.8965000000000001
1,4,6,1.11925
1,4,7,1.224
1,4,8,1.3345
1,4,9,0.9675
1,4,10,0.40675
1,4,11,0.8695
1,4,12,0.879
1,4,13,0.45025
1,4,14,0.32450000000000007
1,4,15,0.5089999999999999
1,4,16,0.39625000000000005
1,4,17,0.59475
1,4,18,0.7717499999999999
1,4,19,0.7050000000000001
1,4,20,0.6482499999999999
1,4,21,1.34875
1,4,22,0.623
1,4,23,0.46525000000000005
1,5,0,0.3235
1,5,1,0.37525000000000003
1,5,2,0.34525
1,5,3,0.5465
1,5,4,0.35675
1,5,5,0.3105
1,5,6,0.37175
1,5,7,0.3405
1,5,8,0.6229999999999999
1,5,9,0.55325
1,5,10,0.4565
1,5,11,0.41374999999999984
1,5,12,0.40825
1,5,13,0.2742499999999999
1,5,14,0.26849999999999985
1,5,15,0.40125
1,5,16,0.43100000000000005
1,5,17,0.6015
1,5,18,0.3692500000000001
1,5,19,0.7424999999999999
1,5,20,0.8342499999999999
1,5,21,1.18075
1,5,22,0.6172500000000001
1,5,23,0.42575
1,6,0,0.364
1,6,1,0.28675
1,6,2,0.34650000000000003
1,6,3,0.3705
1,6,4,0.33275
1,6,5,0.34199999999999997
1,6,6,0.39475
1,6,7,0.373
1,6,8,0.498
1,6,9,0.41950000000000004
1,6,10,0.519
1,6,11,0.6785000000000001
1,6,12,0.3400000000000001
1,6,13,0.3145
1,6,14,0.32675
1,6,15,0.51675
1,6,16,0.64825
1,6,17,0.39599999999999996
1,6,18,0.44399999999999995
1,6,19,0.65375
1,6,20,0.4605
1,6,21,0.97275
1,6,22,0.50575
1,6,23,0.593
1,7,0,0.322
1,7,1,0.35875
1,7,2,0.3390000000000001
1,7,3,0.29625
1,7,4,0.259
1,7,5,0.296
1,7,6,0.34450000000000003
1,7,7,0.33499999999999996
1,7,8,0.72275
1,7,9,0.79325
1,7,10,0.7237499999999999
1,7,11,0.47425
1,7,12,0.55025
1,7,13,0.61175
1,7,14,0.558
1,7,15,0.28600000000000003
1,7,16,0.2845
1,7,17,0.521
1,7,18,0.7005
1,7,19,0.70075
1,7,20,1.04225
1,7,21,0.8414999999999999
1,7,22,0.68475
1,7,23,0.566
1,8,0,0.25625
1,8,1,0.34199999999999997
1,8,2,0.32325
1,8,3,0.318
1,8,4,0.34325
1,8,5,0.30724999999999997
1,8,6,0.30625
1,8,7,0.26325
1,8,8,0.2705
1,8,9,0.58125
1,8,10,0.57875
1,8,11,0.8482500000000002
1,8,12,0.3770000000000002
1,8,13,0.31675
1,8,14,0.37024999999999997
1,8,15,0.5097499999999999
1,8,16,0.47474999999999995
1,8,17,0.53375
1,8,18,0.565
1,8,19,0.54125
1,8,20,0.57925
1,8,21,0.806
1,8,22,1.281
1,8,23,0.6767500000000001
1,9,0,0.33799999999999997
1,9,1,0.31725000000000003
1,9,2,0.311
1,9,3,0.4307500000000001
1,9,4,0.37
1,9,5,0.32275000000000004
1,9,6,0.4149999999999999
1,9,7,0.3105
1,9,8,1.6940000000000002
1,9,9,1.18475
1,9,10,0.37125
1,9,11,0.33474999999999994
1,9,12,0.3297499999999998
1,9,13,0.258
1,9,14,0.2862500000000002
1,9,15,0.314
1,9,16,0.34425000000000006
1,9,17,0.27749999999999997
1,9,18,0.637
1,9,19,0.6715
1,9,20,0.6905
1,9,21,1.0819999999999999
1,9,22,0.449
1,9,23,0.438
1,10,0,0.31025
1,10,1,0.32675
1,10,2,0.31925
1,10,3,0.2805
1,10,4,0.28625
1,10,5,0.31725
1,10,6,0.25575000000000003
1,10,7,0.26375
1,10,8,0.35225
1,10,9,0.34524999999999995
1,10,10,0.44450000000000006
1,10,11,0.3465000000000001
1,10,12,0.36075
1,10,13,0.383
1,10,14,0.2985
1,10,15,0.3097500000000001
1,10,16,0.40775000000000006
1,10,17,0.45375000000000004
1,10,18,0.51575
1,10,19,0.5277499999999999
1,10,20,0.67425
1,10,21,0.6982499999999999
1,10,22,0.44375
1,10,23,0.32375000000000004
1,11,0,0.2275
1,11,1,0.2445
1,11,2,0.206
1,11,3,0.22775
1,11,4,0.21600000000000003
1,11,5,0.2645
1,11,6,0.22425
1,11,7,0.27325
1,11,8,0.38325
1,11,9,0.30825
1,11,10,0.29325
1,11,11,0.36075
1,11,12,0.355
1,11,13,0.7210000000000001
1,11,14,0.74725
1,11,15,0.31275000000000003
1,11,16,0.314
1,11,17,0.39025
1,11,18,0.71875
1,11,19,0.79975
1,11,20,0.602
1,11,21,0.6087499999999999
1,11,22,0.8975
1,11,23,0.46974999999999995
1,12,0,0.34875
1,12,1,0.33375
1,12,2,0.311
1,12,3,0.33799999999999997
1,12,4,0.3712500000000001
1,12,5,0.351
1,12,6,0.35625
1,12,7,0.33125
1,12,8,0.62775
1,12,9,0.6745
1,12,10,1.3555000000000001
1,12,11,0.49274999999999997
1,12,12,0.527
1,12,13,0.3387499999999998
1,12,14,0.39775000000000005
1,12,15,0.3757500000000001
1,12,16,0.3330000000000001
1,12,17,0.4405
1,12,18,0.53475
1,12,19,0.6720000000000002
1,12,20,0.7040000000000001
1,12,21,1.40225
1,12,22,0.80275
1,12,23,0.3515
1,13,0,0.38275000000000003
1,13,1,0.34199999999999997
1,13,2,0.33099999999999996
1,13,3,0.3395
1,13,4,0.351
1,13,5,0.36475
1,13,6,0.34325000000000006
1,13,7,0.36125
1,13,8,0.44625000000000004
1,13,9,0.4635
1,13,10,0.40674999999999983
1,13,11,0.42899999999999994
1,13,12,0.4287500000000001
1,13,13,0.47024999999999983
1,13,14,0.4365
1,13,15,0.7310000000000001
1,13,16,0.7085000000000001
1,13,17,0.5405
1,13,18,0.6755
1,13,19,0.8532500000000001
1,13,20,0.83
1,13,21,1.2447499999999998
1,13,22,0.9729999999999999
1,13,23,0.8265
1,14,0,0.432
1,14,1,0.354
1,14,2,0.34675000000000006
1,14,3,0.355
1,14,4,0.3525
1,14,5,0.36800000000000005
1,14,6,0.38425
1,14,7,0.4425
1,14,8,0.38775
1,14,9,0.47100000000000003
1,14,10,0.3685
1,14,11,0.41250000000000003
1,14,12,1.0792499999999998
1,14,13,0.5542500000000002
1,14,14,0.39050000000000007
1,14,15,0.6167499999999999
1,14,16,0.542
1,14,17,0.5507500000000001
1,14,18,0.6445
1,14,19,0.7455
1,14,20,0.39499999999999996
1,14,21,0.8005000000000001
1,14,22,0.544
1,14,23,0.31525
1,15,0,0.3155
1,15,1,0.3225
1,15,2,0.29725
1,15,3,0.32825
1,15,4,0.25225
1,15,5,0.32825000000000004
1,15,6,0.2645
1,15,7,0.31175
1,15,8,0.5577500000000001
1,15,9,0.41575
1,15,10,0.3
1,15,11,0.3005000000000001
1,15,12,0.35974999999999996
1,15,13,0.3189999999999999
1,15,14,0.25100000000000006
1,15,15,0.42724999999999996
1,15,16,1.00025
1,15,17,1.5205000000000002
1,15,18,1.29325
1,15,19,0.4105
1,15,20,0.42774999999999996
1,15,21,0.8087500000000001
1,15,22,0.4442500000000001
1,15,23,0.38249999999999995
1,16,0,0.42800000000000005
1,16,1,0.44100000000000006
1,16,2,0.33325
1,16,3,0.3475
1,16,4,0.36225
1,16,5,0.34325
1,16,6,0.3855
1,16,7,0.40249999999999997
1,16,8,0.591
1,16,9,0.523
1,16,10,0.65925
1,16,11,0.4785
1,16,12,0.96175
1,16,13,0.48250000000000004
1,16,14,0.46425
1,16,15,0.799
1,16,16,0.738
1,16,17,0.58775
1,16,18,0.8335
1,16,19,0.5685
1,16,20,0.603
1,16,21,0.9765000000000001
1,16,22,1.0214999999999999
1,16,23,0.5585
1,17,0,0.45225000000000004
1,17,1,0.37424999999999997
1,17,2,0.41400000000000003
1,17,3,0.42700000000000005
1,17,4,0.43300000000000005
1,17,5,0.41525
1,17,6,0.41474999999999995
1,17,7,0.417
1,17,8,0.5475
1,17,9,0.6960000000000002
1,17,10,0.6122500000000001
1,17,11,0.579
1,17,12,0.43049999999999977
1,17,13,0.37625
1,17,14,0.3417499999999999
1,17,15,0.5105000000000003
1,17,16,0.48075
1,17,17,0.5435000000000001
1,17,18,0.573
1,17,19,0.64425
1,17,20,0.54175
1,17,21,1.06475
1,17,22,0.546
1,17,23,0.49875
1,18,0,0.3925
1,18,1,0.356
1,18,2,0.3795
1,18,3,0.35375
1,18,4,0.369
1,18,5,0.37275
1,18,6,0.35575
1,18,7,0.40525
1,18,8,0.64
1,18,9,0.561
1,18,10,0.44725000000000004
1,18,11,0.41925
1,18,12,0.4070000000000001
1,18,13,0.40075
1,18,14,0.39150000000000007
1,18,15,0.39499999999999996
1,18,16,0.382
1,18,17,0.54275
1,18,18,0.43725
1,18,19,0.5285
1,18,20,0.97675
1,18,21,0.7515
1,18,22,0.5502499999999999
1,18,23,0.434
1,19,0,0.45025000000000004
1,19,1,0.36524999999999996
1,19,2,0.37575000000000003
1,19,3,0.334
1,19,4,0.2885
1,19,5,0.31425
1,19,6,0.34175
1,19,7,0.2725
1,19,8,0.4305
1,19,9,0.4945
1,19,10,0.40549999999999997
1,19,11,0.434
1,19,12,0.52125
1,19,13,0.5535
1,19,14,0.47124999999999995
1,19,15,0.3345
1,19,16,0.3455
1,19,17,0.4355
1,19,18,0.46375
1,19,19,0.43324999999999997
1,19,20,1.012
1,19,21,1.11075
1,19,22,0.5015000000000001
1,19,23,0.48725
1,20,0,0.31925000000000003
1,20,1,0.40175
1,20,2,0.38025000000000003
1,20,3,0.37324999999999997
1,20,4,0.317
1,20,5,0.29425
1,20,6,0.262
1,20,7,0.28325
1,20,8,0.3745
1,20,9,0.831
1,20,10,1.3337499999999998
1,20,11,0.69675
1,20,12,0.4019999999999998
1,20,13,0.3187500000000001
1,20,14,0.2775
1,20,15,0.33775000000000005
1,20,16,0.34850000000000003
1,20,17,0.4395
1,20,18,1.23775
1,20,19,0.47875
