month,day,hour,total power usage (kW)
1,1,0,5.2995
1,1,1,10.448500000000001
1,1,2,9.839
1,1,3,9.877999999999998
1,1,4,10.8155
1,1,5,10.17375
1,1,6,10.45075
1,1,7,9.4455
1,1,8,10.104000000000001
1,1,9,6.054
1,1,10,5.0272499999999996
1,1,11,3.4755000000000003
1,1,12,1.7922500000000001
1,1,13,2.80225
1,1,14,7.97775
1,1,15,5.90475
1,1,16,4.85375
1,1,17,2.83525
1,1,18,4.87925
1,1,19,4.862
1,1,20,3.638
1,1,21,5.4559999999999995
1,1,22,5.437250000000001
1,1,23,4.892250000000001
1,2,0,5.17375
1,2,1,4.680250000000001
1,2,2,3.731
1,2,3,3.974250000000001
1,2,4,4.44825
1,2,5,4.25325
1,2,6,4.19925
1,2,7,3.5667500000000003
1,2,8,4.5935
1,2,9,4.06725
1,2,10,3.5665
1,2,11,2.7417499999999997
1,2,12,2.54925
1,2,13,5.4502500000000005
1,2,14,4.19525
1,2,15,5.14725
1,2,16,5.64175
1,2,17,2.7455000000000007
1,2,18,4.3345
1,2,19,7.1705000000000005
1,2,20,7.324
1,2,21,12.132249999999999
1,2,22,10.540500000000002
1,2,23,13.59175
1,3,0,3.54425
1,3,1,4.870500000000001
1,3,2,4.94725
1,3,3,4.4355
1,3,4,5.011500000000001
1,3,5,4.99625
1,3,6,4.391
1,3,7,5.3415
1,3,8,5.733249999999999
1,3,9,5.108
1,3,10,4.235
1,3,11,4.167
1,3,12,2.72275
1,3,13,1.1545
1,3,14,0.6030000000000001
1,3,15,1.23925
1,3,16,1.0367499999999998
1,3,17,1.8455000000000001
1,3,18,2.34925
1,3,19,1.7320000000000002
1,3,20,1.9505000000000001
1,3,21,3.8095
1,3,22,5.1305000000000005
1,3,23,0.57375
1,4,0,4.17575
1,4,1,2.1510000000000007
1,4,2,2.5137500000000004
1,4,3,3.977499999999999
1,4,4,2.3225
1,4,5,4.03075
1,4,6,3.24425
1,4,7,2.206
1,4,8,4.2132499999999995
1,4,9,1.51775
1,4,10,3.42575
1,4,11,2.5190000000000006
1,4,12,0.62175
1,4,13,2.6105000000000005
1,4,14,0.6340000000000001
1,4,15,2.09
1,4,16,0.9172500000000001
1,4,17,2.6277500000000003
1,4,18,1.86375
1,4,19,2.298
1,4,20,2.68525
1,4,21,5.729000000000001
1,4,22,3.0552499999999996
1,4,23,0.64125
1,5,0,2.758
1,5,1,0.9845
1,5,2,2.7199999999999998
1,5,3,2.165
1,5,4,1.4730000000000003
1,5,5,3.4117499999999996
1,5,6,0.6072500000000001
1,5,7,3.15525
1,5,8,3.2985
1,5,9,0.6480000000000001
1,5,10,2.92875
1,5,11,0.65025
1,5,12,2.5172499999999998
1,5,13,0.81
1,5,14,0.6869999999999996
1,5,15,1.9955000000000003
1,5,16,0.84675
1,5,17,2.7390000000000003
1,5,18,2.50875
1,5,19,2.36575
1,5,20,1.47175
1,5,21,1.372
1,5,22,1.8255
1,5,23,1.1625
1,6,0,1.9350000000000003
1,6,1,2.1077500000000002
1,6,2,2.3807500000000004
1,6,3,2.39975
1,6,4,2.05225
1,6,5,3.3535000000000004
1,6,6,1.6357499999999998
1,6,7,3.8495000000000004
1,6,8,2.2279999999999998
1,6,9,2.9080000000000004
1,6,10,3.0155
1,6,11,2.3487499999999994
1,6,12,0.8089999999999999
1,6,13,0.5927499999999999
1,6,14,0.524
1,6,15,0.6232499999999999
1,6,16,1.2992499999999998
1,6,17,0.9430000000000001
1,6,18,0.946
1,6,19,0.9235
1,6,20,0.8865000000000001
1,6,21,1.157
1,6,22,3.74775
1,6,23,0.51875
1,7,0,0.6545
1,7,1,0.612
1,7,2,1.2360000000000002
1,7,3,0.99675
1,7,4,2.3992500000000003
1,7,5,2.8840000000000003
1,7,6,1.0405
1,7,7,0.6507499999999999
1,7,8,2.7082500000000005
1,7,9,0.782
1,7,10,1.5230000000000001
1,7,11,0.9165000000000001
1,7,12,0.8265
1,7,13,0.7515000000000001
1,7,14,0.6825
1,7,15,0.69275
1,7,16,0.622
1,7,17,1.441
1,7,18,4.338500000000001
1,7,19,1.85125
1,7,20,1.119
1,7,21,1.1115
1,7,22,0.87175
1,7,23,0.6945
1,8,0,0.7545
1,8,1,2.19225
1,8,2,1.7145
1,8,3,1.5562500000000001
1,8,4,0.81575
1,8,5,2.44775
1,8,6,1.5295
1,8,7,2.94625
1,8,8,1.3645
1,8,9,1.6767500000000002
1,8,10,1.7495000000000003
1,8,11,0.6372500000000001
1,8,12,0.5262499999999998
1,8,13,0.6339999999999999
1,8,14,0.5995
1,8,15,0.621
1,8,16,0.5285000000000001
1,8,17,0.55475
1,8,18,3.316
1,8,19,1.6355
1,8,20,1.56525
1,8,21,0.8275
1,8,22,2.0857500000000004
1,8,23,1.25325
1,9,0,0.67875
1,9,1,2.77525
1,9,2,0.714
1,9,3,2.479
1,9,4,2.53725
1,9,5,4.04125
1,9,6,1.4900000000000002
1,9,7,1.0462500000000001
1,9,8,2.95625
1,9,9,0.6175
1,9,10,2.6965
1,9,11,0.598
1,9,12,0.60925
1,9,13,0.525
1,9,14,0.6112500000000002
1,9,15,0.5832499999999998
1,9,16,0.6827500000000001
1,9,17,0.5770000000000001
1,9,18,2.1505
1,9,19,2.1785
1,9,20,1.9575
1,9,21,1.7495
1,9,22,0.74525
1,9,23,0.64725
1,10,0,0.62225
1,10,1,2.32825
1,10,2,0.48875
1,10,3,2.47925
1,10,4,0.47175
1,10,5,2.5385
1,10,6,0.7505
1,10,7,2.76325
1,10,8,1.519
1,10,9,2.16675
1,10,10,1.21725
1,10,11,0.68525
1,10,12,2.56025
1,10,13,0.69475
1,10,14,0.6224999999999999
1,10,15,0.59325
1,10,16,0.6270000000000001
1,10,17,0.6715
1,10,18,0.61925
1,10,19,0.7285
1,10,20,1.9947500000000002
1,10,21,1.5185
1,10,22,1.8267499999999999
1,10,23,1.26125
1,11,0,1.551
1,11,1,1.9122500000000002
1,11,2,0.5940000000000001
1,11,3,0.55375
1,11,4,0.5429999999999999
1,11,5,0.95225
1,11,6,1.82475
1,11,7,0.58325
1,11,8,1.3050000000000002
1,11,9,2.38825
1,11,10,1.0995
1,11,11,0.8062499999999999
1,11,12,1.0907499999999999
1,11,13,0.91875
1,11,14,0.6319999999999999
1,11,15,0.5645000000000001
1,11,16,0.51775
1,11,17,0.5265
1,11,18,0.528
1,11,19,0.54975
1,11,20,2.4475000000000002
1,11,21,1.068
1,11,22,2.112
1,11,23,2.9844999999999997
1,12,0,2.7932499999999996
1,12,1,2.9687499999999996
1,12,2,1.5862499999999997
1,12,3,4.38975
1,12,4,2.8287499999999994
1,12,5,3.4667499999999998
1,12,6,2.035
1,12,7,3.0580000000000003
1,12,8,4.376500000000001
1,12,9,1.6852500000000001
1,12,10,6.9435
1,12,11,3.6152500000000005
1,12,12,3.1622500000000002
1,12,13,3.5047499999999996
1,12,14,4.362
1,12,15,0.6297499999999999
1,12,16,0.5075
1,12,17,2.4172499999999997
1,12,18,0.48825
1,12,19,2.253
1,12,20,0.494
1,12,21,2.5987500000000003
1,12,22,1.29675
1,12,23,2.43525
1,13,0,2.9917500000000006
1,13,1,2.66325
1,13,2,3.1715
1,13,3,2.48475
1,13,4,3.88825
1,13,5,2.17325
1,13,6,4.3095
1,13,7,2.4784999999999995
1,13,8,3.5052499999999993
1,13,9,2.89675
1,13,10,2.2169999999999996
1,13,11,3.2864999999999998
1,13,12,0.60775
1,13,13,2.47625
1,13,14,0.6577500000000001
1,13,15,0.5302499999999998
1,13,16,2.60675
1,13,17,0.6835
1,13,18,2.2225
1,13,19,1.30675
1,13,20,1.9119999999999997
1,13,21,3.0627500000000003
1,13,22,0.8644999999999999
1,13,23,3.4115
1,14,0,3.4765000000000006
1,14,1,2.0945
1,14,2,2.4342500000000005
1,14,3,4.619
1,14,4,2.3667499999999997
1,14,5,3.0195000000000003
1,14,6,3.4585000000000004
1,14,7,2.9055000000000004
1,14,8,3.0395000000000003
1,14,9,3.7662500000000003
1,14,10,1.79225
1,14,11,1.17425
1,14,12,0.5915000000000001
1,14,13,0.516
1,14,14,0.6202499999999997
1,14,15,0.5235
1,14,16,1.1412499999999999
1,14,17,1.06325
1,14,18,0.5702499999999999
1,14,19,3.4682500000000007
1,14,20,4.0169999999999995
1,14,21,4.041499999999999
1,14,22,1.7094999999999998
1,14,23,3.1875
1,15,0,3.4967499999999996
1,15,1,1.5865
1,15,2,3.6412500000000003
1,15,3,1.6695000000000002
1,15,4,4.045999999999999
1,15,5,1.588
1,15,6,3.66725
1,15,7,1.5970000000000002
1,15,8,3.2935000000000003
1,15,9,1.7675
1,15,10,2.0164999999999997
1,15,11,1.27875
