month,day,hour,total power usage (kW)
1,1,0,0.9132500000000001
1,1,1,0.0
1,1,2,0.83575
1,1,3,0.8545
1,1,4,0.82675
1,1,5,0.8135
1,1,6,0.8202500000000001
1,1,7,0.884
1,1,8,1.3122500000000001
1,1,9,1.14275
1,1,10,1.10425
1,1,11,0.98375
1,1,12,0.7882499999999999
1,1,13,0.919
1,1,14,0.48524999999999996
1,1,15,1.146
1,1,16,0.77475
1,1,17,0.8862500000000001
1,1,18,1.046
1,1,19,1.4577499999999999
1,1,20,1.10825
1,1,21,0.9612499999999999
1,1,22,0.9279999999999999
1,1,23,0.44725
1,2,0,0.587
1,2,1,0.6859999999999999
1,2,2,0.667
1,2,3,0.5840000000000001
1,2,4,0.59975
1,2,5,0.7035
1,2,6,0.8885000000000001
1,2,7,1.0685000000000002
1,2,8,1.12475
1,2,9,1.0535
1,2,10,0.7024999999999999
1,2,11,2.9082499999999993
1,2,12,0.8009999999999999
1,2,13,0.9749999999999999
1,2,14,0.4282500000000001
1,2,15,0.84475
1,2,16,0.73175
1,2,17,1.0122499999999999
1,2,18,1.5265
1,2,19,1.98325
1,2,20,1.1997499999999999
1,2,21,1.2205
1,2,22,0.7655000000000001
1,2,23,0.34675
1,3,0,0.44075
1,3,1,0.53025
1,3,2,0.543
1,3,3,0.596
1,3,4,0.6832499999999999
1,3,5,0.67325
1,3,6,0.9105000000000001
1,3,7,1.363
1,3,8,1.0605
1,3,9,0.6422500000000002
1,3,10,0.6754999999999999
1,3,11,0.7320000000000002
1,3,12,0.90525
1,3,13,0.8319999999999999
1,3,14,0.5455000000000002
1,3,15,0.3375
1,3,16,0.33925
1,3,17,0.6227500000000001
1,3,18,0.8947499999999999
1,3,19,1.033
1,3,20,0.95375
1,3,21,0.9195
1,3,22,0.6779999999999999
1,3,23,0.37550000000000006
1,4,0,0.36474999999999996
1,4,1,0.52125
1,4,2,0.5135
1,4,3,0.49074999999999996
1,4,4,0.5595
1,4,5,0.5585
1,4,6,0.574
1,4,7,1.2275
1,4,8,1.02575
1,4,9,1.145
1,4,10,0.63975
1,4,11,0.4252499999999998
1,4,12,0.5187500000000003
1,4,13,0.49375
1,4,14,0.37725
1,4,15,0.44325000000000003
1,4,16,0.5725
1,4,17,0.6595
1,4,18,1.0535
1,4,19,0.8835000000000002
1,4,20,0.8624999999999999
1,4,21,0.82575
1,4,22,0.8135
1,4,23,0.40325
1,5,0,0.37
1,5,1,0.3625
1,5,2,0.364
1,5,3,0.43799999999999994
1,5,4,0.43300000000000005
1,5,5,0.4365
1,5,6,0.434
1,5,7,0.91775
1,5,8,1.0819999999999999
1,5,9,0.5042500000000001
1,5,10,0.47324999999999995
1,5,11,0.34275
1,5,12,0.58325
1,5,13,0.32775
1,5,14,0.47424999999999984
1,5,15,0.3965000000000002
1,5,16,0.33074999999999993
